scenario,county_slug,capex_pv,capex_storage,capex_electric,capex_gas,annual_bill_electric,annual_bill_gas,vehicle_om
full_electric_ev,nevada,2755.2898974383515,2165.000678414255,8489.159383440166,0.0,2204.951297138707,0.0,2161.56
full_electric_ev_coopt,nevada,642.806584500006,0.0,8489.159383440166,0.0,4220.428045816092,0.0,2161.56
baseline_ice_car,orange,965.62575028415,2165.000678414255,0.0,6026.715128251622,640.9788478250966,410.7573997623137,5220.742268041237
full_electric_ev,orange,1622.591070125566,2165.000678414255,8313.62522719943,0.0,1048.0804667906662,0.0,2161.56
full_electric_ev_coopt,orange,489.8922428127799,0.0,8313.62522719943,0.0,2756.321449120077,0.0,2161.56
baseline_ice_car,plumas,908.9908089185107,2165.000678414255,0.0,6026.715128251622,649.7739164758187,3351.318330860892,5396.907216494845
full_electric_ev,plumas,2769.4486327797617,2165.000678414255,8732.487328648784,0.0,2209.920245901732,0.0,2161.56
full_electric_ev_coopt,plumas,580.5081489978028,0.0,8732.487328648784,0.0,4247.564838716071,0.0,2161.56
baseline_ice_car,riverside,948.6352678744582,2165.000678414255,0.0,6026.715128251622,661.2528951354991,587.7083729702927,5171.257731958764
full_electric_ev,riverside,1670.7307702863593,2165.000678414255,8102.664737352671,0.0,1137.8218890667115,0.0,2161.56
full_electric_ev_coopt,riverside,504.05097815418975,0.0,8102.664737352671,0.0,2880.116710177542,0.0,2161.56
baseline_ice_car,sacramento,1002.4384621718156,2165.000678414255,0.0,6026.715128251622,691.2365419558423,1456.2454111142822,5242.020618556701
full_electric_ev,sacramento,1993.5499360705032,2165.000678414255,8479.191129463561,0.0,1515.0957660897157,0.0,2161.56
full_electric_ev_coopt,sacramento,540.8636900418553,0.0,8479.191129463561,0.0,3129.276677635195,0.0,2161.56
baseline_ice_car,san-benito,1056.2416564691728,2165.000678414255,0.0,6026.715128251622,717.2596976956576,931.4144005705188,5345.938144329897
full_electric_ev,san-benito,1829.3086061101492,2165.000678414255,8741.253331484912,0.0,1371.7069605529225,0.0,2161.56
full_electric_ev_coopt,san-benito,634.3113432951601,0.0,8741.253331484912,0.0,2909.220831800661,0.0,2161.56
baseline_ice_car,san-bernardino,866.5146028942812,2165.000678414255,0.0,6026.715128251622,637.4222412777419,432.2104385626688,5190.556701030928
full_electric_ev,san-bernardino,1481.0037167114676,2165.000678414255,8642.65666055716,0.0,1048.8322367513024,0.0,2161.56
full_electric_ev_coopt,san-bernardino,498.3874840176258,0.0,8642.65666055716,0.0,2690.142368827452,0.0,2161.56
baseline_ice_car,san-diego,1005.2702092400975,2165.000678414255,0.0,6026.715128251622,678.5592024161906,642.6838272622124,5293.979381443299
full_electric_ev,san-diego,1676.3942644229232,2165.000678414255,8441.355901791594,0.0,1011.7959628040894,0.0,2161.56
full_electric_ev_coopt,san-diego,535.2001959052914,0.0,8441.355901791594,0.0,3054.831869167508,0.0,2161.56
baseline_ice_car,san-francisco,1013.7654504449434,2165.000678414255,0.0,6026.715128251622,660.4935420755705,1519.0579292407642,5343.4639175257735
full_electric_ev,san-francisco,2084.165842255526,2165.000678414255,8658.491241331541,0.0,1448.1283716793057,0.0,2161.56
