system_to_load_kWh,batt_to_load_kWh,grid_to_load_kWh,grid_to_batt_kWh,system_to_batt_AC_kWh,system_to_batt_DC_kWh,system_to_grid_kWh,battery_soc_pct
0.6668102148178947,0.0,9.333189785182105,0.0,1.0591584390013808,1.0167921014413255,0.0,22.709990211235198
0.6668102147814068,0.0,9.333189785218593,0.0,2.7922445229370156,2.680554742019535,0.0,42.06737806340251
0.6668102149504054,0.0,9.333189785049594,0.0,3.8619292324976437,3.7074520631977377,0.0,68.25747868707114
1.0357319022908706,0.0,8.96426809770913,0.0,3.997043332111267,3.837161598826816,0.0,95.00000000072629
5.221056854785395,0.0,4.778943145214605,0.0,0.0,0.0,0.0,95.00000000072629
5.012481431714405,0.0,4.987518568285595,0.0,0.0,0.0,0.0,95.00000000072629
4.367915429838745,0.0,5.632084570161255,0.0,0.0,0.0,0.0,95.00000000072629
3.3417878218680523,0.0,6.658212178131947,0.0,0.0,0.0,0.0,95.00000000072629
1.7581013065704856,0.0,8.241898693429514,0.0,0.0,0.0,0.0,95.00000000072629
0.0,0.6668100568083665,9.333189943191634,0.0,0.0,0.0,0.0,90.07269249283581
0.0,0.6668101942093713,9.333189805790628,0.0,0.0,0.0,0.0,85.11356609068754
