,Load Profile,System to Load,Battery to Load,Grid to Load,Solar + Battery to Load,Total Supply,Difference,System to Battery,Grid to Battery,Battery SOC,hour,month,day_of_year,season,tou_period,soc_bin,electricity_rate,grid_cost,battery_wear_cost
2018-08-23 17:00:00,0.5954611486486485,0.5954611486486485,0.0,0.0,0.5954611486486485,0.5954611486486485,0.0,0.0,0.0,95.0000021773006,17,8,235,Summer,Peak,80-100%,0.47,0.0,0.0
2018-08-23 18:00:00,0.6585738413175701,0.0848623377053544,0.2161208369085583,0.3575906667036573,0.3009831746139128,0.6585738413175701,0.0,0.0,0.0,93.39155847723086,18,8,235,Summer,Peak,80-100%,0.47,0.16806761335071893,0.03998235482808329
2018-08-23 19:00:00,0.7152601351351352,0.0,0.3576694637415503,0.3575906713935849,0.3576694637415503,0.7152601351351352,0.0,0.0,0.0,90.71549078244624,19,8,235,Summer,Peak,80-100%,0.47,0.1680676155549849,0.0661688507921868
2018-08-23 20:00:00,0.7297753378378378,0.0,0.3721846708915808,0.3575906669462569,0.3721846708915808,0.7297753378378378,0.0,0.0,0.0,87.92601704623695,20,8,235,Summer,Peak,80-100%,0.47,0.16806761346474075,0.06885416411494245
2018-08-23 21:00:00,0.7709966216216215,0.0,0.4134059544486058,0.3575906671730157,0.4134059544486058,0.7709966216216215,0.0,0.0,0.0,84.82244741657868,21,8,235,Summer,Peak,80-100%,0.47,0.16806761357131736,0.07648010157299207
2018-08-23 22:00:00,0.7941402027027027,0.0,0.4365495361129659,0.3575906665897367,0.4365495361129659,0.7941402027027027,0.0,0.0,0.0,81.5403611577736,22,8,235,Summer,Off-Peak,80-100%,0.27,0.09654947997922891,0.08076166418089868
2018-08-23 23:00:00,0.7865824779150757,0.0,0.4289918122294173,0.3575906656856584,0.4289918122294173,0.7865824779150757,0.0,0.0,0.0,78.31117337135744,23,8,235,Summer,Off-Peak,60-80%,0.27,0.09654947973512777,0.0793634852624422
2018-08-24 00:00:00,0.6429907896885211,0.0,0.2854001258621482,0.3575906638263728,0.2854001258621482,0.6429907896885211,0.0,0.0,0.0,76.1623674523477,0,8,236,Summer,Off-Peak,60-80%,0.27,0.09654947923312066,0.05279902328449741
2018-08-24 01:00:00,0.4725717616480574,0.0,0.1149810978396604,0.3575906638083969,0.1149810978396604,0.4725717616480574,0.0,0.0,0.0,75.29698374565392,1,8,236,Summer,Off-Peak,60-80%,0.27,0.09654947922826716,0.021271503100337173
2018-08-24 02:00:00,0.4190595693580372,0.0,0.0614689055614658,0.3575906637965713,0.0614689055614658,0.4190595693580371,5.551115123125783e-17,0.0,0.0,74.83436883513083,2,8,236,Summer,Off-Peak,60-80%,0.27,0.09654947922507426,0.011371747528871174
